Текущее время и дата: 26-12-2021 22:07:51, Log level: ERROR, Идентификатор треда: LogThread-2, Статус лога в данный момент ERROR
Текущее время и дата: 26-12-2021 22:07:53, Log level: DEBUG, Идентификатор треда: LogThread-1, Статус лога в данный момент DEBUG
Текущее время и дата: 26-12-2021 22:07:53, Log level: ERROR, Идентификатор треда: LogThread-2, Статус лога в данный момент ERROR
Текущее время и дата: 26-12-2021 22:07:55, Log level: DEBUG, Идентификатор треда: LogThread-3, Статус лога в данный момент DEBUG
Текущее время и дата: 26-12-2021 22:07:55, Log level: ERROR, Идентификатор треда: LogThread-2, Статус лога в данный момент ERROR
Текущее время и дата: 26-12-2021 22:07:56, Log level: DEBUG, Идентификатор треда: LogThread-1, Статус лога в данный момент DEBUG
Текущее время и дата: 26-12-2021 22:07:57, Log level: ERROR, Идентификатор треда: LogThread-2, Статус лога в данный момент ERROR
Текущее время и дата: 26-12-2021 22:07:59, Log level: DEBUG, Идентификатор треда: LogThread-3, Статус лога в данный момент DEBUG
Текущее время и дата: 26-12-2021 22:07:59, Log level: DEBUG, Идентификатор треда: LogThread-1, Статус лога в данный момент DEBUG
Текущее время и дата: 26-12-2021 22:07:59, Log level: ERROR, Идентификатор треда: LogThread-2, Статус лога в данный момент ERROR
Текущее время и дата: 26-12-2021 22:08:01, Log level: ERROR, Идентификатор треда: LogThread-2, Статус лога в данный момент ERROR
Текущее время и дата: 26-12-2021 22:08:02, Log level: DEBUG, Идентификатор треда: LogThread-1, Статус лога в данный момент DEBUG
Текущее время и дата: 26-12-2021 22:08:03, Log level: DEBUG, Идентификатор треда: LogThread-3, Статус лога в данный момент DEBUG
Текущее время и дата: 26-12-2021 22:08:03, Log level: ERROR, Идентификатор треда: LogThread-2, Статус лога в данный момент ERROR
Текущее время и дата: 26-12-2021 22:08:05, Log level: DEBUG, Идентификатор треда: LogThread-1, Статус лога в данный момент DEBUG
Текущее время и дата: 26-12-2021 22:08:05, Log level: ERROR, Идентификатор треда: LogThread-2, Статус лога в данный момент ERROR
Текущее время и дата: 26-12-2021 22:08:07, Log level: DEBUG, Идентификатор треда: LogThread-3, Статус лога в данный момент DEBUG
Текущее время и дата: 26-12-2021 22:08:07, Log level: ERROR, Идентификатор треда: LogThread-2, Статус лога в данный момент ERROR
Текущее время и дата: 26-12-2021 22:08:08, Log level: DEBUG, Идентификатор треда: LogThread-1, Статус лога в данный момент DEBUG
Текущее время и дата: 26-12-2021 22:08:09, Log level: ERROR, Идентификатор треда: LogThread-2, Статус лога в данный момент ERROR
Текущее время и дата: 26-12-2021 22:08:11, Log level: DEBUG, Идентификатор треда: LogThread-3, Статус лога в данный момент DEBUG
Текущее время и дата: 26-12-2021 22:08:11, Log level: DEBUG, Идентификатор треда: LogThread-1, Статус лога в данный момент DEBUG
Текущее время и дата: 26-12-2021 22:08:11, Log level: ERROR, Идентификатор треда: LogThread-2, Статус лога в данный момент ERROR
Текущее время и дата: 26-12-2021 22:08:14, Log level: ERROR, Идентификатор треда: LogThread-2, Статус лога в данный момент ERROR
Текущее время и дата: 26-12-2021 22:08:14, Log level: DEBUG, Идентификатор треда: LogThread-1, Статус лога в данный момент DEBUG
Текущее время и дата: 26-12-2021 22:08:15, Log level: DEBUG, Идентификатор треда: LogThread-3, Статус лога в данный момент DEBUG
Текущее время и дата: 26-12-2021 22:08:16, Log level: ERROR, Идентификатор треда: LogThread-2, Статус лога в данный момент ERROR
Текущее время и дата: 26-12-2021 22:08:17, Log level: DEBUG, Идентификатор треда: LogThread-1, Статус лога в данный момент DEBUG
Текущее время и дата: 26-12-2021 22:08:18, Log level: ERROR, Идентификатор треда: LogThread-2, Статус лога в данный момент ERROR
Текущее время и дата: 26-12-2021 22:08:19, Log level: DEBUG, Идентификатор треда: LogThread-3, Статус лога в данный момент DEBUG
Текущее время и дата: 26-12-2021 22:08:20, Log level: ERROR, Идентификатор треда: LogThread-2, Статус лога в данный момент ERROR
Текущее время и дата: 26-12-2021 22:08:20, Log level: DEBUG, Идентификатор треда: LogThread-1, Статус лога в данный момент DEBUG
Текущее время и дата: 26-12-2021 22:08:22, Log level: ERROR, Идентификатор треда: LogThread-2, Статус лога в данный момент ERROR
Текущее время и дата: 26-12-2021 22:08:23, Log level: DEBUG, Идентификатор треда: LogThread-3, Статус лога в данный момент DEBUG
Текущее время и дата: 26-12-2021 22:08:23, Log level: DEBUG, Идентификатор треда: LogThread-1, Статус лога в данный момент DEBUG
Текущее время и дата: 26-12-2021 22:08:24, Log level: ERROR, Идентификатор треда: LogThread-2, Статус лога в данный момент ERROR
Текущее время и дата: 26-12-2021 22:08:26, Log level: ERROR, Идентификатор треда: LogThread-2, Статус лога в данный момент ERROR
Текущее время и дата: 26-12-2021 22:08:26, Log level: DEBUG, Идентификатор треда: LogThread-1, Статус лога в данный момент DEBUG
